"Fire_Mod","Kingdom","Phylum","Class","Order","Family","Genus","Species","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium","Elongisporangium_anandrum",0.0252125711714286,0.127504951456325,0.020684034426454,38,7.89473684210526
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_iriomotense",0.0239632054647627,0.094975238843121,0.0154070182173647,38,7.89473684210526
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces","Aphanomyces_stellatus",0.0216020486725227,0.063385620637632,0.0102825054590921,38,18.4210526315789
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_junctum",0.0185909461501459,0.0793716663205501,0.0128757845080363,38,15.7894736842105
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_acanthophoron",0.0184908741226471,0.0638587488710565,0.0103592569934953,38,15.7894736842105
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_brachiatum",0.0152995133890202,0.0736163790760964,0.0119421536322253,38,10.5263157894737
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_jasmonium",0.014355596580353,0.0402753302158108,0.00653352130411958,38,15.7894736842105
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_aichiense",0.0126575926864386,0.0695067948381561,0.01127549103689,38,7.89473684210526
"Unmitigated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa",0.0117960509794396,0.0383222218782599,0.00621668529397972,38,13.1578947368421
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_aquisylvae",0.210935496870508,0.343190234467489,0.0571983724112482,36,38.8888888888889
"Mitigated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_parasitica",0.139727279718622,0.280625130299253,0.0467708550498756,36,47.2222222222222
"Mitigated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna",0.065310784791337,0.192329993123543,0.0320549988539238,36,33.3333333333333
"Mitigated","Other","Other","Other","Other","Other","Other","Other",0.055356716742727,NA,NA,NA,NA
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_terrestre",0.0505702354854371,0.143153134218315,0.0238588557030525,36,16.6666666666667
"Mitigated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa",0.0375494761144602,0.10092065898942,0.0168201098315699,36,19.4444444444444
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_attrantheridium",0.0356413851580434,0.134727170019644,0.0224545283366073,36,11.1111111111111
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_helicoides",0.0345523336681448,0.0978819713340593,0.0163136618890099,36,27.7777777777778
"Mitigated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Thraustotheca","Thraustotheca_clavata",0.0335493432247576,0.140226532721394,0.023371088786899,36,25
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens",0.03126601853864,0.108545236953026,0.0180908728255043,36,13.8888888888889
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium","Elongisporangium_anandrum",0.0294998334862654,0.102583893443844,0.017097315573974,36,11.1111111111111
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_dissotocum",0.0264997658183083,0.112383411870467,0.0187305686450778,36,5.55555555555556
"Mitigated","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_ferax",0.0236193123754495,0.102472246026881,0.0170787076711468,36,19.4444444444444
"Mitigated","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium","Lagenidium_sp.sinuatum",0.0232914577119237,0.100374630360964,0.0167291050601606,36,8.33333333333333
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_brachiatum",0.0210843408082762,0.0764417846982503,0.0127402974497084,36,16.6666666666667
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_selbyi",0.0205415396937021,0.123249238162213,0.0205415396937021,36,2.77777777777778
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_insidiosum",0.020248555414461,0.0481905522388804,0.00803175870648007,36,25
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_aichiense",0.0193637015297425,0.0790170401064439,0.0131695066844073,36,8.33333333333333
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum",0.0167415636530965,0.0899256156899146,0.0149876026149858,36,11.1111111111111
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_heterothallicum",0.0164457879097452,0.0986747274584715,0.0164457879097453,36,2.77777777777778
"Mitigated","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_europaea",0.0160235652361637,0.096141391416982,0.0160235652361637,36,2.77777777777778
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_iwayami",0.0104556676057203,0.0512109949774497,0.00853516582957496,36,5.55555555555556
"Mitigated","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_iriomotense",0.00998589819958332,0.0598518233187745,0.00997530388646241,36,8.33333333333333
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_brachiatum",0.241473488696877,0.380638564295264,0.105570143152736,13,46.1538461538462
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_jasmonium",0.129713615717748,0.289425176048231,0.0802721009732377,13,23.0769230769231
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens",0.119645638583092,0.267932185151108,0.074311017839187,13,23.0769230769231
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum",0.0849177679974457,0.276444432970808,0.0766718906071398,13,15.3846153846154
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_aquisylvae",0.0766498943619077,0.192269628681601,0.0533260003789179,13,23.0769230769231
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_insidiosum",0.0738988470965985,0.263248069906098,0.0730118780164128,13,15.3846153846154
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_violae",0.0655137538762444,0.236213198848927,0.0655137538762444,13,7.69230769230769
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Halophytophthora","Halophytophthora_kandeliae",0.0418004626687795,0.114049722443395,0.0316317017093919,13,15.3846153846154
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_contiguanum",0.0381900880008172,0.0887439989237363,0.024613156808404,13,23.0769230769231
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_citrinum",0.0360377705613814,0.129936029612467,0.0360377705613814,13,7.69230769230769
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rhizoterrae",0.0344913218682243,0.124360229554415,0.0344913218682243,13,7.69230769230769
"Wildfire","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_dissimile",0.0124698234506112,0.041463033166233,0.0114997763167013,13,15.3846153846154
"Wildfire","Other","Other","Other","Other","Other","Other","Other",0.012195463683542,NA,NA,NA,NA
"Wildfire","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Hyaloperonospora","Hyaloperonospora_arabidopsidis",0.0100593242197575,0.0362694092708526,0.0100593242197575,13,7.69230769230769
