Treatuntreat_EP,Kingdom,Phylum,Class,Order,Family,Genus,Species,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-T,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora_nemorosa,0.0375494761144602,0.10092065898941956,0.016820109831569927,36,19.444444444444446
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_attrantheridium,0.03564138515804339,0.13472717001964388,0.022454528336607313,36,11.11111111111111
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,Phytopythium_helicoides,0.03455233366814483,0.09788197133405925,0.016313661889009876,36,27.77777777777778
SOD-T,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Thraustotheca,Thraustotheca_clavata,0.0335493432247576,0.14022653272139401,0.023371088786899002,36,25
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_rostratifingens,0.03126601853863999,0.1085452369530256,0.018090872825504267,36,13.88888888888889
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Elongisporangium,Elongisporangium_anandrum,0.029499833486265357,0.10258389344384375,0.017097315573973957,36,11.11111111111111
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_dissotocum,0.026499765818308343,0.11238341187046658,0.01873056864507776,36,5.555555555555555
SOD-T,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia_ferax,0.023619312375449467,0.10247224602688068,0.01707870767114678,36,19.444444444444446
SOD-T,Stramenopila,Oomycota,Oomycetes,Lagenidiales,Lagenidiaceae,Lagenidium,Lagenidium_sp.sinuatum,0.023291457711923695,0.10037463036096377,0.016729105060160628,36,8.333333333333332
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_brachiatum,0.02108434080827624,0.07644178469825035,0.012740297449708391,36,16.666666666666664
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_selbyi,0.02054153969370215,0.12324923816221267,0.02054153969370211,36,2.7777777777777777
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_insidiosum,0.020248555414461047,0.04819055223888043,0.00803175870648007,36,25
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,Phytopythium_aichiense,0.019363701529742466,0.07901704010644385,0.013169506684407308,36,8.333333333333332
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium_monospermum,0.016741563653096477,0.08992561568991463,0.014987602614985772,36,11.11111111111111
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_heterothallicum,0.01644578790974524,0.0986747274584715,0.01644578790974525,36,2.7777777777777777
SOD-T,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora_europaea,0.01602356523616366,0.09614139141698205,0.016023565236163675,36,2.7777777777777777
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,Globisporangium_iwayami,0.010455667605720337,0.05121099497744975,0.008535165829574958,36,5.555555555555555
