"YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Species","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium","Elongisporangium_anandrum",0.0252125711714286,0.127504951456325,0.020684034426454,38,7.89473684210526
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_iriomotense",0.0239632054647627,0.094975238843121,0.0154070182173647,38,7.89473684210526
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces","Aphanomyces_stellatus",0.0216020486725227,0.063385620637632,0.0102825054590921,38,18.4210526315789
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_junctum",0.0185909461501459,0.0793716663205501,0.0128757845080363,38,15.7894736842105
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_acanthophoron",0.0184908741226471,0.0638587488710565,0.0103592569934953,38,15.7894736842105
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_brachiatum",0.0152995133890202,0.0736163790760964,0.0119421536322253,38,10.5263157894737
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_jasmonium",0.014355596580353,0.0402753302158108,0.00653352130411958,38,15.7894736842105
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_aichiense",0.0126575926864386,0.0695067948381561,0.01127549103689,38,7.89473684210526
"SOD-UT","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa",0.0117960509794396,0.0383222218782599,0.00621668529397972,38,13.1578947368421
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_aquisylvae",0.233736945333877,0.354778959420753,0.0793309870251443,20,45
"1-2 PT","Other","Other","Other","Other","Other","Other","Other",0.0786756360476066,NA,NA,NA,NA
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_terrestre",0.077214259787841,0.183888000572179,0.0411186069525913,20,20
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_attrantheridium",0.0604244025766715,0.178066052622949,0.0398167798149968,20,15
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_parasitica",0.054707192707201,0.155770347367794,0.0348313085593143,20,30
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Elongisporangium","Elongisporangium_anandrum",0.0530997002752777,0.13441060710273,0.030055125437872,20,20
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_helicoides",0.0510599378819787,0.12386423904695,0.0276968858490264,20,30
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa",0.0473572113249212,0.104832777046038,0.0234413215745022,20,20
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Lagenidiales","Lagenidiaceae","Lagenidium","Lagenidium_sp.sinuatum",0.0419246238814626,0.133180438550176,0.0297800513871428,20,15
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_aichiense",0.0348546627535364,0.104561892365931,0.0233807499186239,20,15
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna",0.0340240422663366,0.099400596684055,0.0222266491189587,20,25
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_brachiatum",0.0298023472627264,0.0962977256451342,0.0215328260621145,20,25
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_insidiosum",0.0288583821125459,0.0544997813543355,0.012186521586717,20,35
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_europaea",0.0288424174250946,0.128987211995872,0.0288424174250946,20,5
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_dissotocum",0.0277679664452427,0.124182121136992,0.0277679664452427,20,5
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens",0.0181477574825499,0.0602016012113126,0.0134614872662829,20,10
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_iriomotense",0.0179709824440458,0.0802985058488729,0.0179552917569744,20,10
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_contiguanum",0.0153186758012392,0.0413650250970374,0.00924950080079604,20,20
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_iwayami",0.0149874397447213,0.0670258681557578,0.0149874397447213,20,5
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_nodosum",0.014778339100078,0.0416998970462503,0.00932438044501583,20,35
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Albuginaceae","Albuginales","Albugo","Albugo_laibachii",0.0141698414649134,0.0633694574918829,0.0141698414649134,20,5
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_ferax",0.0121101457882819,0.0291766912014916,0.00652410648850553,20,25
"1-2 PT","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_fragariae",0.0101670900918507,0.0454686091574855,0.0101670900918507,20,5
"3-4 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Thraustotheca","Thraustotheca_clavata",0.301199409633067,0.46521904576792,0.26859434130625,3,66.6666666666667
"3-4 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_selbyi",0.246498476324426,0.426947884982219,0.246498476324426,3,33.3333333333333
"3-4 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna",0.186945681413754,0.258228557259071,0.149088327045973,3,66.6666666666667
"3-4 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_parasitica",0.0867605565685356,0.140604798174963,0.0811782180756681,3,66.6666666666667
"3-4 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces","Aphanomyces_astaci",0.0698384689958625,0.114143574081302,0.0659008232221059,3,66.6666666666667
"3-4 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_brachiatum",0.0543297746144721,0.0941019299960315,0.0543297746144721,3,33.3333333333333
"3-4 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens",0.0311620956399437,0.0539743329187031,0.0311620956399437,3,33.3333333333333
"3-4 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Leptolegniaceae","Aphanomyces","Aphanomyces_stellatus",0.0199167966718669,0.0344969037596921,0.0199167966718669,3,33.3333333333333
"3-4 PT","Other","Other","Other","Other","Other","Other","Other",0.00334874013807247,NA,NA,NA,NA
"5-8 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_parasitica",0.326885517200062,0.440621168352312,0.166539147692992,7,71.4285714285714
"5-8 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_aquisylvae",0.305815881974134,0.425381686454821,0.160779164948673,7,42.8571428571429
"5-8 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens",0.09559074726003,0.22338853657701,0.0844329305036323,7,28.5714285714286
"5-8 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_ferax",0.0867196396328382,0.22943860025363,0.0867196396328382,7,14.2857142857143
"5-8 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum",0.07710235906012,0.203993667569485,0.07710235906012,7,14.2857142857143
"5-8 PT","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_nemorosa",0.0573409032293708,0.147503735195048,0.0557511715398888,7,28.5714285714286
"5-8 PT","Other","Other","Other","Other","Other","Other","Other",0.0343303208635965,NA,NA,NA,NA
"5-8 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Thraustotheca","Thraustotheca_clavata",0.0162146307798482,0.0428998806442116,0.0162146307798482,7,14.2857142857143
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Saprolegnia","Saprolegnia_parasitica",0.231259654270052,0.358432668126043,0.146329524008858,6,66.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Achlya","Achlya_hypogyna",0.179329046479802,0.401258679928972,0.163813170114789,6,66.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_aquisylvae",0.129704634473636,0.282349438573973,0.115268675611256,6,33.3333333333333
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_heterothallicum",0.0986747274584715,0.241702732781452,0.0986747274584716,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_dissotocum",0.066438706759041,0.16274093073005,0.066438706759041,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_terrestre",0.0460405469531524,0.0835139266038109,0.0340944177659303,6,33.3333333333333
"10-12 PT","Other","Other","Other","Other","Other","Other","Other",0.0417033994895628,NA,NA,NA,NA
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_dissimile",0.0340111331189087,0.0833099217152002,0.0340111331189087,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Phytopythium","Phytopythium_helicoides",0.0307039062831253,0.0752089035038913,0.0307039062831253,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_jasmonium",0.0281430943563945,0.0671675255243123,0.0274210274699884,6,33.3333333333333
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_mamillatum",0.0269385520081899,0.0659857068294923,0.0269385520081899,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_insidiosum",0.0252494048808853,0.0618481582671081,0.0252494048808853,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_glomeratum",0.0220552220216354,0.0540240401168016,0.0220552220216354,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_apleroticum",0.014538462602537,0.0356118150207511,0.014538462602537,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_iwayami",0.0127758731519177,0.0312943702407214,0.0127758731519177,6,16.6666666666667
"10-12 PT","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_attrantheridium",0.0124336356926886,0.0304560630947436,0.0124336356926886,6,16.6666666666667
